NOPD_Item,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0000125,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3687148,539441,2025-01-01T00:01:31.770000,2025-01-01T01:49:00.720000,,2025-01-01T01:57:09.103000,GOA,GONE ON ARRIVAL,N,5G02,025XX Blk N Prieur St,70117,5,POINT (-90.04995412 29.97710343)
A0000225,20,AUTO ACCIDENT,1,20,AUTO ACCIDENT,1E,3680718,529326,2025-01-01T00:01:54.433000,2025-01-01T03:07:01.310000,2025-01-01T03:12:25.540000,2025-01-01T06:54:17.650000,GOA,GONE ON ARRIVAL,N,8G04,St Charles Av & Poydras St,70130,8,POINT (-90.07061588 29.94948919)
A0000325,94F,FIREWORKS,2J,103,DISTURBANCE (OTHER),1C,3707020,561072,2025-01-01T00:01:55.250000,2025-01-01T00:03:04.977000,,2025-01-01T00:03:12.263000,NAT,Necessary Action Taken,N,7P03,070XX Bundy Rd,70127,7,POINT (-89.98638954 30.03595457)
A0000425,94F,FIREWORKS,2J,103,DISTURBANCE (OTHER),1C,3665351,536442,2025-01-01T00:02:04.403000,,,2025-01-01T00:02:56.620000,NAT,Necessary Action Taken,N,2S02,089XX Edinburgh St,70118,2,POINT (-90.11889699 29.96951243)
A0000525,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3664671,536451,2025-01-01T00:03:08.487000,,,2025-01-01T00:03:46.323000,NAT,Necessary Action Taken,N,2S01,090XX Olive St,70118,2,POINT (-90.12104322 29.96955652)
A0000625,107,SUSPICIOUS PERSON,1,107,SUSPICIOUS PERSON,2D,3716298,565932,2025-01-01T00:03:14.237000,,,2025-01-01T00:21:08.157000,NAT,Necessary Action Taken,N,7K03,I-10 W After I-510 S Onramp,70128,7,POINT (-89.95688632 30.0490152)
A0000725,94F,FIREWORKS,1A,94,DISCHARGING FIREARM,2C,3685335,554802,2025-01-01T00:03:36.930000,2025-01-01T00:49:24.653000,2025-01-01T00:53:34.297000,2025-01-01T01:14:47.627000,GOA,GONE ON ARRIVAL,N,3R03,059XX Music St,70122,3,POINT (-90.05513893 30.01939801)
A0000825,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3682149,540029,2025-01-01T00:03:48.550000,2025-01-01T00:58:29.950000,2025-01-01T00:58:34.597000,2025-01-01T01:39:55.827000,GOA,GONE ON ARRIVAL,N,5K02,021XX New Orleans St,70119,5,POINT (-90.0657235 29.97887396)
A0000925,24,MEDICAL,2D,24,MEDICAL,2D,37369000,3513814,2025-01-01T00:05:07.610000,,2025-01-01T00:05:07.610000,2025-01-01T00:10:28.127000,NAT,Necessary Action Taken,Y,8D06,St Peter St & Dauphine St,70112,8,POINT (0 0)
A0001025,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3718649,572694,2025-01-01T00:05:34.307000,2025-01-01T00:06:59.757000,,2025-01-01T00:07:04.993000,NAT,Necessary Action Taken,N,7K04,Linden St & Shamrock Dr,70128,7,POINT (-89.94919523 30.06753041)
A0001125,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3674132,528241,2025-01-01T00:05:39.653000,2025-01-01T00:06:30.813000,,2025-01-01T00:06:34.587000,NAT,Necessary Action Taken,N,6K02,Jackson Av & S Roman St,70125,6,POINT (-90.09144546 29.94670308)
A0001225,94F,FIREWORKS,2J,103,DISTURBANCE (OTHER),1C,3665733,534181,2025-01-01T00:05:49.737000,,,2025-01-01T00:06:15.263000,NAT,Necessary Action Taken,N,2T02,084XX Colapissa St,70118,2,POINT (-90.11776591 29.96328339)
A0001325,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3691401,536630,2025-01-01T00:05:56.763000,2025-01-01T01:57:18.453000,2025-01-01T01:57:22.127000,2025-01-01T02:05:43.037000,GOA,GONE ON ARRIVAL,N,5D03,037XX N Villere St,70117,5,POINT (-90.03662256 29.96924355)
A0001425,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3697397,553792,2025-01-01T00:07:05.610000,,,2025-01-01T00:19:35.600000,NAT,Necessary Action Taken,N,7C03,047XX Virgilian St,70126,7,POINT (-90.01706375 30.01624503)
A0001525,94,DISCHARGING FIREARM,1,94,DISCHARGING FIREARM,2C,3700711,518963,2025-01-01T00:07:19.077000,2025-01-01T00:16:16.210000,2025-01-01T00:29:51.253000,2025-01-01T00:32:32.493000,GOA,GONE ON ARRIVAL,N,4D01,033XX Kabel Dr,70131,4,POINT (-90.00786574 29.92037316)
A0001625,94,DISCHARGING FIREARM,1,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3709046,564419,2025-01-01T00:07:47.137000,,,2025-01-01T00:20:36.397000,NAT,Necessary Action Taken,N,7I13,075XX Avalon Way,70127,7,POINT (-89.97986178 30.04509087)
A0001725,94,DISCHARGING FIREARM,1A,37,AGGRAVATED ASSAULT,2C,3680498,543031,2025-01-01T00:08:34.277000,2025-01-01T00:46:57.387000,2025-01-01T00:58:25.617000,2025-01-01T01:40:15.750000,GOA,GONE ON ARRIVAL,N,3X03,016XX Agriculture St,70119,3,POINT (-90.07083199 29.98717788)
A0001825,94,DISCHARGING FIREARM,2C,94,DISCHARGING FIREARM,2C,3705769,555404,2025-01-01T00:08:43.077000,2025-01-01T00:10:29.727000,,2025-01-01T00:10:56.947000,NAT,Necessary Action Taken,N,7F02,047XX Laine Av,70126,7,POINT (-89.99055168 30.02040916)
A0001925,103D,DOMESTIC DISTURBANCE,2C,21,COMPLAINT OTHER,1J,3680902,532915,2025-01-01T00:08:47.537000,,2025-01-01T00:08:47.537000,2025-01-01T03:04:59,RTF,REPORT TO FOLLOW,Y,1.00E+03,005XX N Rampart St,70112,1,POINT (-90.06990987 29.95935025)
A0002025,43MB,MISDEMEANOR SEXUAL BATTERY,1C,42,AGGRAVATED RAPE,2C,37369000,3513814,2025-01-01T00:09:05.457000,2025-01-01T00:18:54.510000,2025-01-01T00:29:52.737000,2025-01-01T01:44:51.427000,RTF,REPORT TO FOLLOW,N,2N02,023XX Blk Nashville Av,70115,2,POINT (0 0)
